date,temperature_max,temperature_min,wind_speed_max,snowfall_sum,uv_index_max,weather_code
2025-04-10 06:00:00+00:00,55.49,32.27,11.187237,0.0,7.75,3.0
2025-04-11 06:00:00+00:00,65.3,40.91,13.835081,0.0,7.9,3.0
2025-04-12 06:00:00+00:00,64.696106,45.32,24.971373,0.0,7.7,3.0
2025-04-13 06:00:00+00:00,54.9761,28.5161,24.902142,0.49,7.75,71.0
2025-04-14 06:00:00+00:00,52.0961,24.0161,12.354236,0.0,7.85,3.0
2025-04-15 06:00:00+00:00,59.6561,32.6561,10.106191,0.0,7.7,3.0
2025-04-16 06:00:00+00:00,58.3061,38.4161,14.295814,0.0,7.25,3.0
