date,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,snowfall_sum,uv_index_max,weather_code
2025-04-10 06:00:00+00:00,58.1,32.27,11.072585,0.0,7.75,3.0
2025-04-11 06:00:00+00:00,65.21,39.11,14.716671,0.0,7.9,3.0
2025-04-12 06:00:00+00:00,64.8761,42.3761,27.5151,0.0,7.7,3.0
2025-04-13 06:00:00+00:00,54.4361,28.6961,23.41595,0.21000001,7.85,73.0
2025-04-14 06:00:00+00:00,52.4561,24.3761,7.6973605,0.0,7.85,0.0
2025-04-15 06:00:00+00:00,59.2961,31.5761,12.098428,0.0,7.7,3.0
2025-04-16 06:00:00+00:00,54.7961,37.7861,17.007086,0.0,4.9,3.0
