resort,name,open,groomed,difficultly
Winter Park,Thunderbird Traverse,False,False,4
Winter Park,100s,False,False,4
Winter Park,Alphabet Chutes,False,False,5
Winter Park,Eldorado,False,False,4
Winter Park,Jelly Roll,False,False,5
Winter Park,Jelly Roll Glades,False,False,4
Winter Park,Rollover,False,False,4
Winter Park,Shadow Chute,False,False,5
Winter Park,South Basin,False,False,4
Winter Park,South Headwall,False,False,5
Winter Park,Upper Egress,False,False,3
Winter Park,Waterfall,False,False,4
Winter Park,West Headwall,False,False,5
