resort,name,open,type
Eldora,Caribou,True,double
Eldora,Little Hawk,False,double
Eldora,Sundance,True,double
Eldora,Corona,True,quad
Eldora,Alpenglow,True,six_person
Eldora,Sunkid,True,carpet
Eldora,Indian Peaks,True,quad
Eldora,Race,False,surface
Eldora,EZ,True,triple
Eldora,Tenderfoot,True,carpet
